Latitude Longitude Depth Magnitude Strike Dip Rake
9.9107 -84.0476 9.0 4.09 82.0 84.0 159.0
9.3388 -83.2815 11.0 3.72 26.0 65.0 119.0
9.3984 -83.2966 5.0 3.51 301.0 85.0 172.0
9.6685 -85.6058 14.0 5.26 288.0 25.0 80.0
9.7949 -85.5177 21.0 5.45 278.0 25.0 68.0
9.2904 -85.3103 10.0 4.8 350.0 27.0 -105.0
9.9743 -85.6314 22.0 4.8 301.0 28.0 92.0
9.8948 -85.694 31.0 5.35 302.0 27.0 86.0
9.6511 -85.7263 21.0 6.32 293.0 24.0 81.0
9.8858 -84.4659 50.0 4.8 140.0 51.0 32.0
9.407076 -84.634831 11.0 3.85 137.0 52.0 87.0
9.9471 -85.6476 24.0 5.32 295.0 25.0 78.0
10.1598 -86.2575 20.0 5.76 303.0 22.0 85.0
10.3137 -86.295 22.0 4.72 303.0 22.0 85.0
10.6151 -85.6279 40.0 4.77 38.0 58.0 148.0
9.5061 -84.8538 14.0 5.21 286.0 24.0 82.0
10.1504 -85.3624 40.0 4.97 143.0 55.0 3.0
9.5173 -83.7567 21.0 4.1 28.0 53.0 -92.0
9.6507 -85.1019 20.0 4.69 304.0 32.0 104.0
10.6319 -86.347 32.0 5.2 305.0 26.0 92.0
9.4569 -83.7227 24.0 3.7 84.0 87.0 -13.0
9.902397 -84.070858 11.0 3.85 332.0 86.0 164.0
9.902257 -84.070182 11.0 3.4 156.0 88.0 -174.0
10.34 -86.3039 17.0 5.02 307.0 24.0 95.0
9.5033 -83..7509 20.0 4.5 209.0 43.0 -52.0
9.506 -83.7538 29.0 4.7 222.0 46.0 -49.0
9.5057 -83.7539 18.7 3.8 208.0 41.0 -81.0
9.4688 -83.7837 34.0 4.1 258.0 58.0 4.4
9.4421 -84.6174 8.0 3.86 301.0 88.0 -84.0
9.4353 -83.8912 10.56 3.6 246.0 82.0 -0.31
9.3987 -83.8692 35.0 5.1 288.0 53.0 74.0
9.4189 -83.8687 26.0 3.9 48.0 86.0 1.5
9.9539 -83.7872 7.0 5.3 148.0 85.0 162.0
8.5 -83.08 13.0 4.02 129.0 57.0 -62.0
10.32 -85.9 5.0 4.5 101.0 86.0 6.0
10.89 -83.8 21.0 3.85 178.0 86.0 -167.0
8.909 -82.479 8.0 5.22 172.0 82.0 -171.0
